ftmo_symbol,source,data_symbol,exchange,price_scale
AUDCAD,dukascopy,AUDCAD,,1e5
AUDCHF,dukascopy,AUDCHF,,1e5
AUDJPY,dukascopy,AUDJPY,,1e5
AUDNZD,dukascopy,AUDNZD,,1e5
AUDUSD,dukascopy,AUDUSD,,1e5
CADCHF,dukascopy,CADCHF,,1e5
CADJPY,dukascopy,CADJPY,,1e5
CHFJPY,dukascopy,CHFJPY,,1e5
EURAUD,dukascopy,EURAUD,,1e5
EURCAD,dukascopy,EURCAD,,1e5
EURCHF,dukascopy,EURCHF,,1e5
EURCZK,dukascopy,EURCZK,,1e5
EURGBP,dukascopy,EURGBP,,1e5
EURHUF,dukascopy,EURHUF,,1e5
EURJPY,dukascopy,EURJPY,,1e5
EURNOK,dukascopy,EURNOK,,1e5
EURNZD,dukascopy,EURNZD,,1e5
EURPLN,dukascopy,EURPLN,,1e5
EURUSD,dukascopy,EURUSD,,1e5
GBPAUD,dukascopy,GBPAUD,,1e5
GBPCAD,dukascopy,GBPCAD,,1e5
GBPCHF,dukascopy,GBPCHF,,1e5
GBPJPY,dukascopy,GBPJPY,,1e5
GBPNZD,dukascopy,GBPNZD,,1e5
GBPUSD,dukascopy,GBPUSD,,1e5
NZDCAD,dukascopy,NZDCAD,,1e5
NZDCHF,dukascopy,NZDCHF,,1e5
NZDJPY,dukascopy,NZDJPY,,1e5
NZDUSD,dukascopy,NZDUSD,,1e5
USDCAD,dukascopy,USDCAD,,1e5
USDCNH,dukascopy,USDCNH,,1e5
USDCZK,dukascopy,USDCZK,,1e5
USDHKD,dukascopy,USDHKD,,1e5
USDHUF,dukascopy,USDHUF,,1e5
USDILS,dukascopy,USDILS,,1e5
USDJPY,dukascopy,USDJPY,,1e5
USDMXN,dukascopy,USDMXN,,1e5
USDNOK,dukascopy,USDNOK,,1e5
USDPLN,dukascopy,USDPLN,,1e5
USDSEK,dukascopy,USDSEK,,1e5
USDSGD,dukascopy,USDSGD,,1e5
USDZAR,dukascopy,USDZAR,,1e5
USDCHF,dukascopy,USDCHF,,1e5

DXY.cash,dukascopy,DXY,,1e5

AUS200.cash,dukascopy,AUS200,,1e5
EU50.cash,dukascopy,EU50,,1e5
FRA40.cash,dukascopy,FRA40,,1e5
GER40.cash,dukascopy,GER40,,1e5
HK50.cash,dukascopy,HK50,,1e5
JP225.cash,dukascopy,JP225,,1e5
N25.cash,dukascopy,N25,,1e5
SPN35.cash,dukascopy,SPN35,,1e5
UK100.cash,dukascopy,UK100,,1e5
US30.cash,dukascopy,US30,,1e5
US100.cash,dukascopy,US100,,1e5
US2000.cash,dukascopy,US2000,,1e5
US500.cash,dukascopy,US500,,1e5

UKOIL.cash,dukascopy,UKOIL,,1e5
USOIL.cash,dukascopy,USOIL,,1e5
HEATOIL.cash,dukascopy,HEATOIL,,1e5
NATGAS.cash,dukascopy,NATGAS,,1e5

XAGEUR,dukascopy,XAGEUR,,1e5
XAGUSD,dukascopy,XAGUSD,,1e5
XAGAUD,dukascopy,XAGAUD,,1e5
XAUEUR,dukascopy,XAUEUR,,1e5
XAUUSD,dukascopy,XAUUSD,,1e5
XAUAUD,dukascopy,XAUAUD,,1e5
XCUUSD,dukascopy,XCUUSD,,1e5
XPDUSD,dukascopy,XPDUSD,,1e5
XPTUSD,dukascopy,XPTUSD,,1e5

COCOA.c,dukascopy,COCOA,,1e5
COFFEE.c,dukascopy,COFFEE,,1e5
CORN.c,dukascopy,CORN,,1e5
COTTON.c,dukascopy,COTTON,,1e5
SOYBEAN.c,dukascopy,SOYBEAN,,1e5
SUGAR.c,dukascopy,SUGAR,,1e5
WHEAT.c,dukascopy,WHEAT,,1e5

BTCUSD,ccxt,BTC/USDT,binance,
ETHUSD,ccxt,ETH/USDT,binance,
LTCUSD,ccxt,LTC/USDT,binance,
XMRUSD,ccxt,XMR/USDT,binance,
DASHUSD,ccxt,DASH/USDT,binance,
NEOUSD,ccxt,NEO/USDT,binance,
XRPUSD,ccxt,XRP/USDT,binance,
DOGEUSD,ccxt,DOGE/USDT,binance,
ADAUSD,ccxt,ADA/USDT,binance,
DOTUSD,ccxt,DOT/USDT,binance,
UNIUSD,ccxt,UNI/USDT,binance,
XLMUSD,ccxt,XLM/USDT,binance,
VECUSD,ccxt,VET/USDT,binance,
MANUSD,ccxt,MANA/USDT,binance,
IMXUSD,ccxt,IMX/USDT,binance,
GRTUSD,ccxt,GRT/USDT,binance,
GALUSD,ccxt,GAL/USDT,binance,
AAVUSD,ccxt,AAVE/USDT,binance,
FETUSD,ccxt,FET/USDT,binance,
ICPUSD,ccxt,ICP/USDT,binance,
ALGUSD,ccxt,ALGO/USDT,binance,
NERUSD,ccxt,NEAR/USDT,binance,
LNKUSD,ccxt,LINK/USDT,binance,
AVAUSD,ccxt,AVAX/USDT,binance,
SOLUSD,ccxt,SOL/USDT,binance,
BNBUSD,ccxt,BNB/USDT,binance,
BARUSD,ccxt,BAR/USDT,binance,
XTZUSD,ccxt,XTZ/USDT,binance,
SANUSD,ccxt,SAND/USDT,binance,
BCHUSD,ccxt,BCH/USDT,binance,
ETCUSD,ccxt,ETC/USDT,binance

